t,u,theta,phi
5.56,-0.5235988,-0.1083084,0.5201294
5.57,-0.5235988,-0.1174252,0.5201294
5.58,-0.5235988,-0.1257437,0.5249918
5.59,-0.5235988,-0.1333479,0.5249918
5.6,-0.5235988,-0.14019,0.5249918
5.61,-0.5235988,-0.1461655,0.5249918
5.62,-0.5235988,-0.151272,0.5201294
5.63,-0.5235988,-0.1554454,0.5249918
5.64,-0.5235988,-0.1586689,0.5249918
5.65,-0.5235988,-0.1609071,0.5249918
5.66,-0.5235988,-0.1622205,0.5201294
5.67,-0.5235988,-0.1626364,0.5249918
5.68,-0.5235988,-0.1621153,0.5249918
5.69,-0.5235988,-0.1607219,0.5249918
5.7,-0.5235988,-0.1583485,0.5249918
5.71,-0.5235988,-0.1549767,0.5249918
5.72,-0.5235988,-0.1507729,0.5249918
5.73,-0.5235988,-0.1457635,0.5249918
5.74,-0.5235988,-0.1397953,0.5249918
5.75,-0.5235988,-0.133263,0.5249918
5.76,-0.5235988,-0.1258095,0.5249918
5.77,-0.5235988,-0.1177112,0.5249918
5.78,-0.5235988,-0.1088426,0.5249918
5.79,-0.5235988,-0.09932545,0.5249918
5.8,-0.5235988,-0.08945551,0.5249918
5.81,-0.5235988,-0.07908951,0.5249918
5.82,-0.5235988,-0.0681576,0.5201294
5.83,-0.5235988,-0.05691681,0.5249918
5.84,-0.5235988,-0.04550741,0.5249918
5.85,-0.5235988,-0.03383552,0.5249918
5.86,-0.5235988,-0.02192021,0.5249918
5.87,-0.5235988,-0.009881659,0.5249918
5.88,-0.5235988,0.001956851,0.5249918
5.89,-0.5235988,0.01401243,0.5249918
5.9,-0.5235988,0.02573366,0.5249918
5.91,-0.5235988,0.03728351,0.5249918
5.92,-0.5235988,0.04862156,0.5249918
5.93,-0.5235988,0.05969376,0.5249918
5.94,-0.5235988,0.0702889,0.5249918
5.95,-0.5235988,0.08054386,0.5249918
5.96,-0.5235988,0.09022674,0.5249918
5.97,-0.5235988,0.09932226,0.5249918
5.98,-0.5235988,0.1078091,0.5249918
5.99,-0.5235988,0.1157133,0.5201294
6,-0.5235988,0.1228756,0.5249918
6.01,-0.5235988,0.1292782,0.5249918
6.02,-0.5235988,0.1348995,0.5249918
6.03,-0.5235988,0.139725,0.5249918
6.04,-0.5235988,0.1438187,0.5249918
6.05,-0.5235988,0.1469602,0.5249918
